word_list,humor_rating
aback,60.64993968914172
abate,53.21243998968549
abbey,53.166650345224035
abbot,52.941552252206336
abhor,60.375478779714896
abide,51.63095264157647
abler,65.89060000515295
ables,59.47723641981434
abode,58.42419328217648
abort,52.243872133777636
about,44.89822869568295
above,50.52969818296699
abuse,44.74988387685418
abyss,55.56016152792697
ached,61.18261080804299
aches,54.86417445559923
acids,50.67219048285286
acorn,62.17032196910222
acres,47.75454728467872
acrid,55.83673906710281
acted,50.255868109207164
actin,57.28587423785733
actor,53.881325258952394
acute,46.13203331457138
adage,57.52393664781389
adapt,52.364980439579966
added,44.071369716487936
adder,56.07552126038412
addle,67.2558288754949
adept,53.852492731319956
adieu,64.14442815093564
adios,60.95322867789066
admit,57.24192534502669
adobe,48.96417390810079
adopt,53.208625643529444
adore,66.41104197948891
adorn,59.0307784198198
adult,53.09277549633945
aegis,47.670698947688656
affix,59.13771315256341
afire,52.9071044930694
afoot,55.27997270548775
afoul,54.96640722943985
after,41.224946055481645
again,52.10292548244948
agape,63.97294246829173
agate,53.1083284227945
agent,44.951071388832844
agile,56.86185139079065
aging,50.379728187733456
aglow,63.737008339650444
agony,53.09414338952908
agora,56.78715609875053
agree,47.75584758376864
ahead,44.64607852554517
ahold,61.73516976498327
aided,48.88754140193713
aides,53.11419605242031
aimed,46.996051850142926
aired,49.56397831951816
aisle,55.523590715682765
alarm,48.32506903799913
album,52.34580571541409
alder,55.19390644505269
aleph,61.0673966975577
alert,45.370365556937784
algae,51.00942552531262
alias,49.07343482650847
alibi,55.39349191366129
alien,52.57264972822166
align,52.594355341353044
alike,55.60639276112257
aline,64.97313795545989
alive,52.78599561589428
allay,55.37375452924404
allen,52.27613116810693
aller,56.73693042090941
alley,55.19183007166834
allot,55.118649724880356
allow,50.701374996788445
alloy,51.674325157291804
aloft,59.37779138074822
aloha,58.430599697592235
alone,46.99432885077874
along,49.19751384057212
aloof,61.801887678498076
aloud,57.772747653662215
alpha,55.990343895508985
altar,53.44087834343378
alter,48.44846257364311
altos,57.379382865425384
alums,58.539134983229914
amass,57.2974123217755
amaze,61.80768990135876
amber,53.95137422384594
amble,68.90134233685949
amend,48.99380988707927
amigo,64.14044127074783
amino,51.781161172376095
amiss,55.373632688333124
